YV\plain\2015\03\article1.txt	None	Создана Государственная комиссия по вопросам развития Арктики	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=1	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article2.txt	None	Народные депутаты утвердили корректировку бюджета Якутии на 2015 год и на плановый период 2016 и 201	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=2	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article3.txt	None	Курс рубля к доллару обновляет максимумы с января	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=3	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article4.txt	None	Россияне уже сдают нормы ГТО	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=4	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article5.txt	None	Евро на торгах Московской биржи упал до 63 рублей, это на 1,29 рубля ниже уровня предыдущего закрыти	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=5	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article6.txt	None	Рубль-разрушитель. Как девальвация в России может обвалить чужие экономики	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=7	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article7.txt	None	Егор Винокуров	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=10	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article8.txt	None	Как создаются якутские бриллианты?	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=13	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article9.txt	None	Айталина Узнаева	28.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=14	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article10.txt	None	Евгений Калачев	29.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=15	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article11.txt	None	Якунину и Сечину разрешили сохранить доходы в тайне	31.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=18	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article12.txt	None	В Австралии вступили в силу принятые в сентябре 2014 года санкции против России	31.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=19	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article13.txt	None	Лучшие друзья девушек - гантели? В Якутске прошел конкурс фитнес-бикини	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=21	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article14.txt	None	Власти Якутии к концу года намерены ликвидировать очереди в детские сады	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=22	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article15.txt	None	В Якутии снижен тоннаж шести ледовых переправ	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=23	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
YV\plain\2015\03\article16.txt	None	Улицы Якутска очищают от снега и наледи	25.03.2015	публицистика	None	нейтральный	н-возраст	н-уровень	городская	http://www.vecherniy.com/wall?id=24	"Якутск вечерний"	2015	газета	Россия	Республика Саха (Якутия)	ru
